,Match name,Team name,Batsman name,Runs,Balls,4s,6s,Strike rate
0,Chennai Super Kings Vs Gujarat Titans,Chennai Super Kings,Devon Conway,1,6,0,0,16.66
1,Chennai Super Kings Vs Gujarat Titans,Chennai Super Kings,Ruturaj Gaikwad,92,50,4,9,184.00
2,Chennai Super Kings Vs Gujarat Titans,Chennai Super Kings,Moeen Ali,23,17,4,1,135.29
3,Chennai Super Kings Vs Gujarat Titans,Chennai Super Kings,Ben Stokes,7,6,1,0,116.66
4,Chennai Super Kings Vs Gujarat Titans,Chennai Super Kings,Ambati Rayudu,12,12,0,1,100.00
5,Chennai Super Kings Vs Gujarat Titans,Chennai Super Kings,Shivam Dube,19,18,0,1,105.55
6,Chennai Super Kings Vs Gujarat Titans,Chennai Super Kings,Ravindra Jadeja,1,2,0,0,50.00
7,Chennai Super Kings Vs Gujarat Titans,Chennai Super Kings,MS Dhoni,14,7,1,1,200.00
8,Chennai Super Kings Vs Gujarat Titans,Chennai Super Kings,Mitchell Santner,1,3,0,0,33.33
9,Chennai Super Kings Vs Gujarat Titans,Gujarat Titans,Wriddhiman Saha,25,16,2,2,156.25
10,Chennai Super Kings Vs Gujarat Titans,Gujarat Titans,Shubman Gill,63,36,6,3,175.00
11,Chennai Super Kings Vs Gujarat Titans,Gujarat Titans,Sai Sudharsan,22,17,3,0,129.41
12,Chennai Super Kings Vs Gujarat Titans,Gujarat Titans,Hardik Pandya,8,11,0,0,72.72
13,Chennai Super Kings Vs Gujarat Titans,Gujarat Titans,Vijay Shankar,27,21,2,1,128.57
14,Chennai Super Kings Vs Gujarat Titans,Gujarat Titans,Rahul Tewatia,15,14,1,1,107.14
15,Chennai Super Kings Vs Gujarat Titans,Gujarat Titans,Rashid Khan,10,3,1,1,333.33
16,Punjab Kings Vs Kolkata Knight Riders,Punjab Kings,Prabhsimran Singh,23,12,2,2,191.66
17,Punjab Kings Vs Kolkata Knight Riders,Punjab Kings,Shikhar Dhawan,40,29,6,0,137.93
18,Punjab Kings Vs Kolkata Knight Riders,Punjab Kings,Bhanuka Rajapaksa,50,32,5,2,156.25
19,Punjab Kings Vs Kolkata Knight Riders,Punjab Kings,Jitesh Sharma,21,11,1,2,190.90
20,Punjab Kings Vs Kolkata Knight Riders,Punjab Kings,Sikandar Raza,16,13,1,1,123.07
21,Punjab Kings Vs Kolkata Knight Riders,Punjab Kings,Sam Curran,26,17,0,2,152.94
22,Punjab Kings Vs Kolkata Knight Riders,Punjab Kings,M Shahrukh Khan,11,7,2,0,157.14
23,Punjab Kings Vs Kolkata Knight Riders,Kolkata Knight Riders,Mandeep Singh,2,4,0,0,50.00
24,Punjab Kings Vs Kolkata Knight Riders,Kolkata Knight Riders,Rahmanullah Gurbaz,22,16,3,1,137.50
25,Punjab Kings Vs Kolkata Knight Riders,Kolkata Knight Riders,Anukul Roy,4,5,1,0,80.00
26,Punjab Kings Vs Kolkata Knight Riders,Kolkata Knight Riders,Venkatesh Iyer,34,28,3,1,121.42
27,Punjab Kings Vs Kolkata Knight Riders,Kolkata Knight Riders,Nitish Rana,24,17,3,1,141.17
28,Punjab Kings Vs Kolkata Knight Riders,Kolkata Knight Riders,Rinku Singh,4,4,0,0,100.00
29,Punjab Kings Vs Kolkata Knight Riders,Kolkata Knight Riders,Andre Russell,35,19,3,2,184.21
30,Punjab Kings Vs Kolkata Knight Riders,Kolkata Knight Riders,Shardul Thakur,8,3,0,1,266.66
31,Punjab Kings Vs Kolkata Knight Riders,Kolkata Knight Riders,Sunil Narine,7,2,0,1,350.00
32,Lucknow Super Giants Vs Delhi Capitals,Lucknow Super Giants,KL Rahul,8,12,0,1,66.66
33,Lucknow Super Giants Vs Delhi Capitals,Lucknow Super Giants,Kyle Mayers,73,38,2,7,192.10
34,Lucknow Super Giants Vs Delhi Capitals,Lucknow Super Giants,Deepak Hooda,17,18,0,0,94.44
35,Lucknow Super Giants Vs Delhi Capitals,Lucknow Super Giants,Krunal Pandya,15,13,0,1,115.38
36,Lucknow Super Giants Vs Delhi Capitals,Lucknow Super Giants,Marcus Stoinis,12,10,0,1,120.00
37,Lucknow Super Giants Vs Delhi Capitals,Lucknow Super Giants,Nicholas Pooran,36,21,2,3,171.42
38,Lucknow Super Giants Vs Delhi Capitals,Lucknow Super Giants,Ayush Badoni,18,7,1,2,257.14
39,Lucknow Super Giants Vs Delhi Capitals,Lucknow Super Giants,Krishnappa Gowtham,6,1,0,1,600.00
40,Lucknow Super Giants Vs Delhi Capitals,Delhi Capitals,Prithvi Shaw,12,9,2,0,133.33
41,Lucknow Super Giants Vs Delhi Capitals,Delhi Capitals,David Warner,56,48,7,0,116.66
42,Lucknow Super Giants Vs Delhi Capitals,Delhi Capitals,Mitchell Marsh,0,1,0,0,0.00
43,Lucknow Super Giants Vs Delhi Capitals,Delhi Capitals,Sarfaraz Khan,4,9,1,0,44.44
44,Lucknow Super Giants Vs Delhi Capitals,Delhi Capitals,Rilee Rossouw,30,20,3,1,150.00
45,Lucknow Super Giants Vs Delhi Capitals,Delhi Capitals,Rovman Powell,1,3,0,0,33.33
46,Lucknow Super Giants Vs Delhi Capitals,Delhi Capitals,Aman Hakim Khan,4,5,0,0,80.00
47,Lucknow Super Giants Vs Delhi Capitals,Delhi Capitals,Axar Patel,16,11,1,1,145.45
48,Lucknow Super Giants Vs Delhi Capitals,Delhi Capitals,Kuldeep Yadav,6,10,0,0,60.00
49,Lucknow Super Giants Vs Delhi Capitals,Delhi Capitals,Chetan Sakariya,4,4,1,0,100.00
50,Lucknow Super Giants Vs Delhi Capitals,Delhi Capitals,Mukesh Kumar,0,1,0,0,0.00
51,Rajasthan Royals Vs Sunrisers Hyderabad,Rajasthan Royals,Yashasvi Jaiswal,54,37,9,0,145.94
52,Rajasthan Royals Vs Sunrisers Hyderabad,Rajasthan Royals,Jos Buttler,54,22,7,3,245.45
53,Rajasthan Royals Vs Sunrisers Hyderabad,Rajasthan Royals,Sanju Samson,55,32,3,4,171.87
54,Rajasthan Royals Vs Sunrisers Hyderabad,Rajasthan Royals,Devdutt Padikkal,2,5,0,0,40.00
55,Rajasthan Royals Vs Sunrisers Hyderabad,Rajasthan Royals,Riyan Parag,7,6,1,0,116.66
56,Rajasthan Royals Vs Sunrisers Hyderabad,Rajasthan Royals,Shimron Hetmyer,22,16,1,1,137.50
57,Rajasthan Royals Vs Sunrisers Hyderabad,Rajasthan Royals,Ravichandran Ashwin,1,2,0,0,50.00
58,Rajasthan Royals Vs Sunrisers Hyderabad,Sunrisers Hyderabad,Abhishek Sharma,0,3,0,0,0.00
59,Rajasthan Royals Vs Sunrisers Hyderabad,Sunrisers Hyderabad,Mayank Agarwal,27,23,3,0,117.39
60,Rajasthan Royals Vs Sunrisers Hyderabad,Sunrisers Hyderabad,Rahul Tripathi,0,2,0,0,0.00
61,Rajasthan Royals Vs Sunrisers Hyderabad,Sunrisers Hyderabad,Harry Brook,13,21,1,0,61.90
62,Rajasthan Royals Vs Sunrisers Hyderabad,Sunrisers Hyderabad,Washington Sundar,1,5,0,0,20.00
63,Rajasthan Royals Vs Sunrisers Hyderabad,Sunrisers Hyderabad,Glenn Phillips,8,6,0,1,133.33
64,Rajasthan Royals Vs Sunrisers Hyderabad,Sunrisers Hyderabad,Abdul Samad,32,32,2,1,100.00
65,Rajasthan Royals Vs Sunrisers Hyderabad,Sunrisers Hyderabad,Adil Rashid,18,13,1,1,138.46
66,Rajasthan Royals Vs Sunrisers Hyderabad,Sunrisers Hyderabad,Bhuvneshwar Kumar,6,10,0,0,60.00
67,Rajasthan Royals Vs Sunrisers Hyderabad,Sunrisers Hyderabad,Umran Malik,19,8,1,2,237.50
68,Mumbai Indians Vs Royal Challengers Bangalore,Mumbai Indians,Rohit Sharma,1,10,0,0,10.00
69,Mumbai Indians Vs Royal Challengers Bangalore,Mumbai Indians,Ishan Kishan,10,13,2,0,76.92
70,Mumbai Indians Vs Royal Challengers Bangalore,Mumbai Indians,Cameron Green,5,4,1,0,125.00
71,Mumbai Indians Vs Royal Challengers Bangalore,Mumbai Indians,Suryakumar Yadav,15,16,1,0,93.75
72,Mumbai Indians Vs Royal Challengers Bangalore,Mumbai Indians,Tilak Varma,84,46,9,4,182.60
73,Mumbai Indians Vs Royal Challengers Bangalore,Mumbai Indians,Nehal Wadhera,21,13,1,2,161.53
74,Mumbai Indians Vs Royal Challengers Bangalore,Mumbai Indians,Tim David,4,7,0,0,57.14
75,Mumbai Indians Vs Royal Challengers Bangalore,Mumbai Indians,Hrithik Shokeen,5,3,1,0,166.66
76,Mumbai Indians Vs Royal Challengers Bangalore,Mumbai Indians,Arshad Khan,15,9,0,1,166.66
77,Mumbai Indians Vs Royal Challengers Bangalore,Royal Challengers Bangalore,Virat Kohli,82,49,6,5,167.34
78,Mumbai Indians Vs Royal Challengers Bangalore,Royal Challengers Bangalore,Faf du Plessis,73,43,5,6,169.76
79,Mumbai Indians Vs Royal Challengers Bangalore,Royal Challengers Bangalore,Dinesh Karthik,0,3,0,0,0.00
80,Mumbai Indians Vs Royal Challengers Bangalore,Royal Challengers Bangalore,Glenn Maxwell,12,3,0,2,400.00
81,Chennai Super Kings Vs Lucknow Super Giants,Chennai Super Kings,Ruturaj Gaikwad,57,31,3,4,183.87
82,Chennai Super Kings Vs Lucknow Super Giants,Chennai Super Kings,Devon Conway,47,29,5,2,162.06
83,Chennai Super Kings Vs Lucknow Super Giants,Chennai Super Kings,Shivam Dube,27,16,1,3,168.75
84,Chennai Super Kings Vs Lucknow Super Giants,Chennai Super Kings,Moeen Ali,19,13,3,0,146.15
85,Chennai Super Kings Vs Lucknow Super Giants,Chennai Super Kings,Ben Stokes,8,8,1,0,100.00
86,Chennai Super Kings Vs Lucknow Super Giants,Chennai Super Kings,Ambati Rayudu,27,14,2,2,192.85
87,Chennai Super Kings Vs Lucknow Super Giants,Chennai Super Kings,Ravindra Jadeja,3,6,0,0,50.00
88,Chennai Super Kings Vs Lucknow Super Giants,Chennai Super Kings,MS Dhoni,12,3,0,2,400.00
89,Chennai Super Kings Vs Lucknow Super Giants,Chennai Super Kings,Mitchell Santner,1,1,0,0,100.00
90,Chennai Super Kings Vs Lucknow Super Giants,Lucknow Super Giants,KL Rahul,20,18,2,0,111.11
91,Chennai Super Kings Vs Lucknow Super Giants,Lucknow Super Giants,Kyle Mayers,53,22,8,2,240.90
92,Chennai Super Kings Vs Lucknow Super Giants,Lucknow Super Giants,Deepak Hooda,2,6,0,0,33.33
93,Chennai Super Kings Vs Lucknow Super Giants,Lucknow Super Giants,Krunal Pandya,9,9,0,1,100.00
94,Chennai Super Kings Vs Lucknow Super Giants,Lucknow Super Giants,Marcus Stoinis,21,18,0,1,116.66
95,Chennai Super Kings Vs Lucknow Super Giants,Lucknow Super Giants,Nicholas Pooran,32,18,2,3,177.77
96,Chennai Super Kings Vs Lucknow Super Giants,Lucknow Super Giants,Ayush Badoni,23,18,0,0,127.77
97,Chennai Super Kings Vs Lucknow Super Giants,Lucknow Super Giants,Krishnappa Gowtham,17,11,0,1,154.54
98,Chennai Super Kings Vs Lucknow Super Giants,Lucknow Super Giants,Mark Wood,10,3,1,1,333.33
99,Delhi Capitals Vs Gujarat Titans,Delhi Capitals,David Warner,37,32,7,0,115.62
100,Delhi Capitals Vs Gujarat Titans,Delhi Capitals,Prithvi Shaw,7,5,1,0,140.00
101,Delhi Capitals Vs Gujarat Titans,Delhi Capitals,Mitchell Marsh,4,4,1,0,100.00
102,Delhi Capitals Vs Gujarat Titans,Delhi Capitals,Sarfaraz Khan,30,34,2,0,88.23
103,Delhi Capitals Vs Gujarat Titans,Delhi Capitals,Rilee Rossouw,0,1,0,0,0.00
104,Delhi Capitals Vs Gujarat Titans,Delhi Capitals,Abishek Porel,20,11,0,2,181.81
105,Delhi Capitals Vs Gujarat Titans,Delhi Capitals,Axar Patel,36,22,2,3,163.63
106,Delhi Capitals Vs Gujarat Titans,Delhi Capitals,Aman Hakim Khan,8,8,0,1,100.00
107,Delhi Capitals Vs Gujarat Titans,Delhi Capitals,Kuldeep Yadav,1,1,0,0,100.00
108,Delhi Capitals Vs Gujarat Titans,Delhi Capitals,Anrich Nortje,4,2,1,0,200.00
109,Delhi Capitals Vs Gujarat Titans,Gujarat Titans,Wriddhiman Saha,14,7,2,1,200.00
110,Delhi Capitals Vs Gujarat Titans,Gujarat Titans,Shubman Gill,14,13,3,0,107.69
111,Delhi Capitals Vs Gujarat Titans,Gujarat Titans,Sai Sudharsan,62,48,4,2,129.16
112,Delhi Capitals Vs Gujarat Titans,Gujarat Titans,Hardik Pandya,5,4,1,0,125.00
113,Delhi Capitals Vs Gujarat Titans,Gujarat Titans,Vijay Shankar,29,23,3,0,126.08
114,Delhi Capitals Vs Gujarat Titans,Gujarat Titans,David Miller,31,16,2,2,193.75
115,Punjab Kings Vs Rajasthan Royals,Punjab Kings,Prabhsimran Singh,60,34,7,3,176.47
116,Punjab Kings Vs Rajasthan Royals,Punjab Kings,Shikhar Dhawan,86,56,9,3,153.57
117,Punjab Kings Vs Rajasthan Royals,Punjab Kings,Bhanuka Rajapaksa,1,1,0,0,100.00
118,Punjab Kings Vs Rajasthan Royals,Punjab Kings,Jitesh Sharma,27,16,2,1,168.75
119,Punjab Kings Vs Rajasthan Royals,Punjab Kings,Sikandar Raza,1,2,0,0,50.00
120,Punjab Kings Vs Rajasthan Royals,Punjab Kings,M Shahrukh Khan,11,10,1,0,110.00
121,Punjab Kings Vs Rajasthan Royals,Punjab Kings,Sam Curran,1,2,0,0,50.00
122,Punjab Kings Vs Rajasthan Royals,Rajasthan Royals,Yashasvi Jaiswal,11,8,1,1,137.50
123,Punjab Kings Vs Rajasthan Royals,Rajasthan Royals,Ravichandran Ashwin,0,4,0,0,0.00
124,Punjab Kings Vs Rajasthan Royals,Rajasthan Royals,Jos Buttler,19,11,1,1,172.72
125,Punjab Kings Vs Rajasthan Royals,Rajasthan Royals,Sanju Samson,42,25,5,1,168.00
126,Punjab Kings Vs Rajasthan Royals,Rajasthan Royals,Devdutt Padikkal,21,26,1,0,80.76
127,Punjab Kings Vs Rajasthan Royals,Rajasthan Royals,Riyan Parag,20,12,1,2,166.66
128,Punjab Kings Vs Rajasthan Royals,Rajasthan Royals,Shimron Hetmyer,36,18,1,3,200.00
129,Punjab Kings Vs Rajasthan Royals,Rajasthan Royals,Dhruv Jurel,32,15,3,2,213.33
130,Punjab Kings Vs Rajasthan Royals,Rajasthan Royals,Jason Holder,1,1,0,0,100.00
131,Kolkata Knight Riders Vs Royal Challengers Bangalore,Kolkata Knight Riders,Rahmanullah Gurbaz,57,44,6,3,129.54
132,Kolkata Knight Riders Vs Royal Challengers Bangalore,Kolkata Knight Riders,Venkatesh Iyer,3,7,0,0,42.85
133,Kolkata Knight Riders Vs Royal Challengers Bangalore,Kolkata Knight Riders,Mandeep Singh,0,1,0,0,0.00
134,Kolkata Knight Riders Vs Royal Challengers Bangalore,Kolkata Knight Riders,Nitish Rana,1,5,0,0,20.00
135,Kolkata Knight Riders Vs Royal Challengers Bangalore,Kolkata Knight Riders,Rinku Singh,46,33,2,3,139.39
136,Kolkata Knight Riders Vs Royal Challengers Bangalore,Kolkata Knight Riders,Andre Russell,0,1,0,0,0.00
137,Kolkata Knight Riders Vs Royal Challengers Bangalore,Kolkata Knight Riders,Shardul Thakur,68,29,9,3,234.48
138,Kolkata Knight Riders Vs Royal Challengers Bangalore,Kolkata Knight Riders,Sunil Narine,0,1,0,0,0.00
139,Kolkata Knight Riders Vs Royal Challengers Bangalore,Kolkata Knight Riders,Umesh Yadav,6,2,1,0,300.00
140,Kolkata Knight Riders Vs Royal Challengers Bangalore,Royal Challengers Bangalore,Virat Kohli,21,18,3,0,116.66
141,Kolkata Knight Riders Vs Royal Challengers Bangalore,Royal Challengers Bangalore,Faf du Plessis,23,12,2,2,191.66
142,Kolkata Knight Riders Vs Royal Challengers Bangalore,Royal Challengers Bangalore,Michael Bracewell,19,18,1,1,105.55
